	qml_model	noise_model	probability|miscalibration	aml_attack	epsilon	accuracy
121	pqc	depolarizing	0.02	none	0	64.59627329192547
122	pqc	depolarizing	0.02	fgsm	0.1	52.173912525177
123	pqc	depolarizing	0.02	fgsm	0.3	34.16149020195007
124	pqc	depolarizing	0.02	fgsm	0.5	33.54037404060364
125	pqc	depolarizing	0.02	fgsm	0.7	32.91925489902496
126	pqc	depolarizing	0.02	fgsm	0.9	32.91925489902496
127	pqc	depolarizing	0.02	pgd	0.1	50.31055808067322
128	pqc	depolarizing	0.02	pgd	0.3	35.40372550487518
129	pqc	depolarizing	0.02	pgd	0.5	33.54037404060364
130	pqc	depolarizing	0.02	pgd	0.7	36.64596378803253
131	pqc	depolarizing	0.02	pgd	0.9	34.78260934352875
132	pqc	depolarizing	0.04	none	0	44.099378881987576
133	pqc	depolarizing	0.04	fgsm	0.1	50.93167424201965
134	pqc	depolarizing	0.04	fgsm	0.3	61.49068474769592
135	pqc	depolarizing	0.04	fgsm	0.5	54.65838313102722
136	pqc	depolarizing	0.04	fgsm	0.7	54.65838313102722
137	pqc	depolarizing	0.04	fgsm	0.9	55.90062141418457
138	pqc	depolarizing	0.04	pgd	0.1	47.204968333244324
139	pqc	depolarizing	0.04	pgd	0.3	49.68944191932678
140	pqc	depolarizing	0.04	pgd	0.5	58.38509202003479
141	pqc	depolarizing	0.04	pgd	0.7	52.173912525177
142	pqc	depolarizing	0.04	pgd	0.9	54.037266969680786
143	pqc	depolarizing	0.06	none	0	44.099378881987576
144	pqc	depolarizing	0.06	fgsm	0.1	50.93167424201965
145	pqc	depolarizing	0.06	fgsm	0.3	61.49068474769592
146	pqc	depolarizing	0.06	fgsm	0.5	55.279505252838135
147	pqc	depolarizing	0.06	fgsm	0.7	54.65838313102722
148	pqc	depolarizing	0.06	fgsm	0.9	55.90062141418457
149	pqc	depolarizing	0.06	pgd	0.1	47.204968333244324
150	pqc	depolarizing	0.06	pgd	0.3	49.68944191932678
151	pqc	depolarizing	0.06	pgd	0.5	58.38509202003479
152	pqc	depolarizing	0.06	pgd	0.7	52.173912525177
153	pqc	depolarizing	0.06	pgd	0.9	54.037266969680786
154	pqc	depolarizing	0.08	none	0	44.099378881987576
155	pqc	depolarizing	0.08	fgsm	0.1	50.93167424201965
156	pqc	depolarizing	0.08	fgsm	0.3	61.49068474769592
157	pqc	depolarizing	0.08	fgsm	0.5	55.279505252838135
158	pqc	depolarizing	0.08	fgsm	0.7	54.65838313102722
159	pqc	depolarizing	0.08	fgsm	0.9	55.90062141418457
160	pqc	depolarizing	0.08	pgd	0.1	47.204968333244324
161	pqc	depolarizing	0.08	pgd	0.3	49.68944191932678
162	pqc	depolarizing	0.08	pgd	0.5	58.38509202003479
163	pqc	depolarizing	0.08	pgd	0.7	52.173912525177
164	pqc	depolarizing	0.08	pgd	0.9	54.037266969680786
165	pqc	depolarizing	0.1	none	0	44.099378881987576
166	pqc	depolarizing	0.1	fgsm	0.1	50.93167424201965
167	pqc	depolarizing	0.1	fgsm	0.3	61.49068474769592
168	pqc	depolarizing	0.1	fgsm	0.5	55.279505252838135
169	pqc	depolarizing	0.1	fgsm	0.7	54.65838313102722
170	pqc	depolarizing	0.1	fgsm	0.9	55.90062141418457
171	pqc	depolarizing	0.1	pgd	0.1	47.204968333244324
172	pqc	depolarizing	0.1	pgd	0.3	49.68944191932678
173	pqc	depolarizing	0.1	pgd	0.5	58.38509202003479
174	pqc	depolarizing	0.1	pgd	0.7	52.173912525177
175	pqc	depolarizing	0.1	pgd	0.9	54.037266969680786
176	pqc	phase-damping	0.02	none	0	65.21739130434783
177	pqc	phase-damping	0.02	fgsm	0.1	52.173912525177
178	pqc	phase-damping	0.02	fgsm	0.3	32.29813575744629
179	pqc	phase-damping	0.02	fgsm	0.5	33.54037404060364
180	pqc	phase-damping	0.02	fgsm	0.7	32.91925489902496
181	pqc	phase-damping	0.02	fgsm	0.9	32.91925489902496
182	pqc	phase-damping	0.02	pgd	0.1	50.93167424201965
183	pqc	phase-damping	0.02	pgd	0.3	33.54037404060364
184	pqc	phase-damping	0.02	pgd	0.5	34.16149020195007
185	pqc	phase-damping	0.02	pgd	0.7	33.54037404060364
186	pqc	phase-damping	0.02	pgd	0.9	36.64596378803253
187	pqc	phase-damping	0.04	none	0	62.732919254658384
188	pqc	phase-damping	0.04	fgsm	0.1	55.90062141418457
189	pqc	phase-damping	0.04	fgsm	0.3	32.91925489902496
190	pqc	phase-damping	0.04	fgsm	0.5	34.16149020195007
191	pqc	phase-damping	0.04	fgsm	0.7	33.54037404060364
192	pqc	phase-damping	0.04	fgsm	0.9	32.29813575744629
193	pqc	phase-damping	0.04	pgd	0.1	54.037266969680786
194	pqc	phase-damping	0.04	pgd	0.3	36.64596378803253
195	pqc	phase-damping	0.04	pgd	0.5	37.26707994937897
196	pqc	phase-damping	0.04	pgd	0.7	35.40372550487518
197	pqc	phase-damping	0.04	pgd	0.9	38.509318232536316
198	pqc	phase-damping	0.06	none	0	60.24844720496895
199	pqc	phase-damping	0.06	fgsm	0.1	48.447203636169434
200	pqc	phase-damping	0.06	fgsm	0.3	32.91925489902496
201	pqc	phase-damping	0.06	fgsm	0.5	34.78260934352875
